Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D),input_smiles
Nicotinate phosphoribosyltransferase,NAPRT,Q6XQN6,CHEMBL4523354,Ligase,1.0,13 / 3,CC(=O)OC1=CC=CC=C1C(=O)O
Prostaglandin G/H synthase 2,PTGS2,P35354,CHEMBL230,Oxidoreductase,1.0,766 / 32,CC(=O)OC1=CC=CC=C1C(=O)O
Prostaglandin G/H synthase 1,PTGS1,P23219,CHEMBL221,Oxidoreductase,1.0,175 / 20,CC(=O)OC1=CC=CC=C1C(=O)O
Sodium-dependent dopamine transporter,SLC6A3,Q01959,CHEMBL238,Electrochemical transporter,0.6588440402138394,1064 / 22,CC(=O)OC1=CC=CC=C1C(=O)O
Carbonic anhydrase 2,CA2,P00918,CHEMBL205,Lyase,0.5339388050453484,2245 / 67,CC(=O)OC1=CC=CC=C1C(=O)O
Carbonic anhydrase 9,CA9,Q16790,CHEMBL3594,Lyase,0.5114287364106143,1428 / 41,CC(=O)OC1=CC=CC=C1C(=O)O
Carbonic anhydrase 1,CA1,P00915,CHEMBL261,Lyase,0.5114287364106143,1890 / 59,CC(=O)OC1=CC=CC=C1C(=O)O
Carbonic anhydrase 12,CA12,O43570,CHEMBL3242,Lyase,0.5114287364106143,1168 / 41,CC(=O)OC1=CC=CC=C1C(=O)O
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.4904446173048515,567 / 10,CC(=O)OC1=CC=CC=C1C(=O)O
Carbonic anhydrase 14,CA14,Q9ULX7,CHEMBL3510,Lyase,0.4726042642060004,202 / 26,CC(=O)OC1=CC=CC=C1C(=O)O
Carbonic anhydrase 7,CA7,P43166,CHEMBL2326,Lyase,0.4726042642060004,346 / 30,CC(=O)OC1=CC=CC=C1C(=O)O
Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.4045950709376894,97 / 40,CC(=O)OC1=CC=CC=C1C(=O)O
Thymidylate synthase,TYMS,P04818,CHEMBL1952,Transferase,0.284795694043296,233 / 9,CC(=O)OC1=CC=CC=C1C(=O)O
Retinoic acid receptor RXR-beta,RXRB,P28702,CHEMBL1870,Nuclear receptor,0.2657687305790519,145 / 33,CC(=O)OC1=CC=CC=C1C(=O)O
Retinoic acid receptor RXR-alpha,RXRA,P19793,CHEMBL2061,Nuclear receptor,0.2657687305790519,323 / 41,CC(=O)OC1=CC=CC=C1C(=O)O
Prostaglandin D2 receptor 2,PTGDR2,Q9Y5Y4,CHEMBL5071,Family A G protein-coupled receptor,0.2520371857345276,2363 / 33,CC(=O)OC1=CC=CC=C1C(=O)O
Serine protease 1,PRSS1,P07477,CHEMBL209,Protease,0.2442905707200027,453 / 40,CC(=O)OC1=CC=CC=C1C(=O)O
Amine oxidase [flavin-containing] B,MAOB,P27338,CHEMBL2039,Oxidoreductase,0.2333059591850195,985 / 282,CC(=O)OC1=CC=CC=C1C(=O)O
Histone deacetylase 6,HDAC6,Q9UBN7,CHEMBL1865,Eraser,0.2328937693506604,2664 / 11,CC(=O)OC1=CC=CC=C1C(=O)O
Tyrosine-protein phosphatase non-receptor type 1,PTPN1,P18031,CHEMBL335,Phosphatase,0.2154457256047276,644 / 46,CC(=O)OC1=CC=CC=C1C(=O)O
Glutamate carboxypeptidase 2,FOLH1,Q04609,CHEMBL1892,Protease,0.2124886122468224,246 / 11,CC(=O)OC1=CC=CC=C1C(=O)O
Poly [ADP-ribose] polymerase 1,PARP1,P09874,CHEMBL3105,Transferase,0.2114898447429209,2079 / 29,CC(=O)OC1=CC=CC=C1C(=O)O
Bile acid receptor,NR1H4,Q96RI1,CHEMBL2047,Nuclear receptor,0.2076133675489198,1032 / 56,CC(=O)OC1=CC=CC=C1C(=O)O
Neutrophil elastase,ELANE,P08246,CHEMBL248,Protease,0.1966753054954946,261 / 47,CC(=O)OC1=CC=CC=C1C(=O)O
Heat shock protein HSP 90-alpha,HSP90AA1,P07900,CHEMBL3880,Other cytosolic protein,0.1773165391324642,299 / 12,CC(=O)OC1=CC=CC=C1C(=O)O
Protein mono-ADP-ribosyltransferase PARP10,PARP10,Q53GL7,CHEMBL2429708,Transferase,0.176770266068246,64 / 38,CC(=O)OC1=CC=CC=C1C(=O)O
Peroxisome proliferator-activated receptor alpha,PPARA,Q07869,CHEMBL239,Nuclear receptor,0.1731340434179349,1071 / 105,CC(=O)OC1=CC=CC=C1C(=O)O
Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Isomerase,0.1716142199866334,263 / 10,CC(=O)OC1=CC=CC=C1C(=O)O
Retinoic acid receptor RXR-gamma,RXRG,P48443,CHEMBL2004,Nuclear receptor,0.1683293979543922,99 / 19,CC(=O)OC1=CC=CC=C1C(=O)O
Amine oxidase [flavin-containing] A,MAOA,P21397,CHEMBL1951,Oxidoreductase,0.1581740533788485,413 / 65,CC(=O)OC1=CC=CC=C1C(=O)O
Acrosin,ACR,P10323,CHEMBL2738,Protease,0.1511134896399219,28 / 25,CC(=O)OC1=CC=CC=C1C(=O)O
"Carbonic anhydrase 5B, mitochondrial",CA5B,Q9Y2D0,CHEMBL3969,Lyase,0.1452579925757267,139 / 3,CC(=O)OC1=CC=CC=C1C(=O)O
"Carbonic anhydrase 5A, mitochondrial",CA5A,P35218,CHEMBL4789,Lyase,0.1452579925757267,139 / 5,CC(=O)OC1=CC=CC=C1C(=O)O
Carbonic anhydrase 6,CA6,P23280,CHEMBL3025,Lyase,0.1452579925757267,85 / 5,CC(=O)OC1=CC=CC=C1C(=O)O
Carbonic anhydrase 4,CA4,P22748,CHEMBL3729,Lyase,0.1452579925757267,393 / 8,CC(=O)OC1=CC=CC=C1C(=O)O
Carbonic anhydrase 3,CA3,P07451,CHEMBL2885,Lyase,0.1452579925757267,29 / 3,CC(=O)OC1=CC=CC=C1C(=O)O
Aldo-keto reductase family 1 member C3,AKR1C3,P42330,CHEMBL4681,Oxidoreductase,0.1446143408431974,482 / 49,CC(=O)OC1=CC=CC=C1C(=O)O
Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,CHEMBL4361,Other cytosolic protein,0.1399288892299214,625 / 29,CC(=O)OC1=CC=CC=C1C(=O)O
Nuclear receptor subfamily 4 group A member 2,NR4A2,P43354,CHEMBL5002,Nuclear receptor,0.129414388865881,57 / 16,CC(=O)OC1=CC=CC=C1C(=O)O
Nuclear receptor subfamily 4immunitygroup A member 1,NR4A1,P22736,CHEMBL1293229,Nuclear receptor,0.129414388865881,26 / 4,CC(=O)OC1=CC=CC=C1C(=O)O
Interleukin-1 receptor-associated kinase 4,IRAK4,Q9NWZ3,CHEMBL3778,Kinase,0.1238895848225191,3104 / 24,CC(=O)OC1=CC=CC=C1C(=O)O
